(2799, -2168, -58);
(2803, -2534, -84);
(2478, -2447, -84);
(2780, -3024, -116);
(2588, -3514, -116);
(2154, -4019, -55);
(1627, -4139, 46);
(1572, -4416, 46);
(1121, -4465, 94);
(1592, -4170, -60);
(517, -4294, -91);
(558, -3719, -112);
(605, -3430, -112);
(997, -2303, -100);
(1339, -2255, 38);
(1070, -2738, 28);
(1122, -3317, 32);
(-514, -5318, -100);
(-685, -5302, -107);
(-1001, -3373, -48);
(-851, -3659, -48);
(-538, -3378, -21);
(-1039, -3779, 88);
(-729, -3453, 88);
(-867, -3402, 88);
(-570, -3654, -41);
(76, -3228, -219);
(-530, -2352, -76);
(1694, -1727, -132);
(1756, -1541, -109);
(1567, -1298, -137);
(1455, -1728, -132);
(2384, -2102, -115);
(2797, -2181, -38);
(2798, -2504, -84);
(2529,  -2434, -84);
(2307, -3329, -116);
(2003, -4089, -70);
(1680, -4069, 70);
(1659, -4445, 46);
(1104, -4320, 78);
(1654, -4143, -60);
(-283, 459, -116);
(-1436, -1121, -120);
(-1661, -3068, -7);
(-1858, -4831, -93);
